Option,Modell,RMSE,MAE,R²,Poisson-Dev.,min(pred),neg. preds,Trainingszeit (s)
Option 1: Squared Error,XGB,39.12852621792248,24.307415338785404,0.95153527013306,12.032854735556183,-40.849910736083984,108,1.9822180271148682
Option 1: Squared Error,EBM,55.31316396719346,36.190844357681634,0.9031508489837787,59.98730161608612,-202.55887200928922,358,13.767768859863281
Option 2: Poisson-Deviance (Beitraege auf Log-Skala),XGB,39.006034887008546,23.682693908554775,0.9518382315658074,7.061543407263029,1.906239628791809,0,2.1951708793640137
Option 2: Poisson-Deviance (Beitraege auf Log-Skala),EBM,48.368916552780206,26.998732586218846,0.9259420758747715,9.72424903648315,0.4464578405783288,0,12.790920972824097
Option 3: Poisson-Deviance (Beitraege approximativ auf Ausleihe-Skala),XGB,39.006034887008546,23.682693908554775,0.9518382315658074,7.061543407263029,1.906239628791809,0,1.9403431415557861
Option 3: Poisson-Deviance (Beitraege approximativ auf Ausleihe-Skala),EBM,48.368916552780206,26.998732586218846,0.9259420758747715,9.72424903648315,0.4464578405783288,0,13.147211074829102
